# X , Y , E
1
0.019337,-nan,-nan
0.0580111,-nan,-nan
0.0966851,-nan,-nan
0.135359,-nan,-nan
0.174033,4.18971e-05,8.81994e-06
0.212707,3.63268e-05,4.42186e-06
0.251381,4.18546e-05,3.03407e-06
0.290055,3.94786e-05,2.18378e-06
0.328729,4.16952e-05,1.76788e-06
0.367403,3.75645e-05,1.37185e-06
0.406077,3.49522e-05,1.17905e-06
0.444751,3.71721e-05,1.10707e-06
0.483425,3.48285e-05,1.01146e-06
0.522099,3.65045e-05,1.03905e-06
0.560773,3.63534e-05,1.04575e-06
0.599448,3.76922e-05,1.07471e-06
0.638122,4.32021e-05,1.14709e-06
0.676796,4.60318e-05,1.22062e-06
0.71547,4.94934e-05,1.3207e-06
0.754144,5.66648e-05,1.45371e-06
0.792818,6.24391e-05,1.55643e-06
0.831492,6.6866e-05,1.64255e-06
0.870166,6.51223e-05,1.67274e-06
0.90884,6.24069e-05,1.60308e-06
0.947514,5.98353e-05,1.53345e-06
0.986188,5.67042e-05,1.46772e-06
1.02486,5.24579e-05,1.37766e-06
1.06354,4.71283e-05,1.36966e-06
1.10221,4.39448e-05,1.35197e-06
1.14088,4.60339e-05,1.41735e-06
1.17956,3.89721e-05,1.35165e-06
1.21823,3.65981e-05,1.32431e-06
1.25691,3.83489e-05,1.29047e-06
1.29558,4.30473e-05,1.34884e-06
1.33425,4.17108e-05,1.36613e-06
1.37293,4.62013e-05,1.41435e-06
1.4116,4.6164e-05,1.43917e-06
1.45028,4.81966e-05,1.5276e-06
1.48895,4.99286e-05,1.62201e-06
1.52762,4.81721e-05,1.60137e-06
1.5663,5.40183e-05,1.6523e-06
1.60497,5.7163e-05,1.76615e-06
1.64365,5.47811e-05,1.97935e-06
1.68232,4.9102e-05,2.41497e-06
1.72099,5.06937e-05,2.2635e-06
1.75967,5.17566e-05,1.91647e-06
1.79834,5.38499e-05,1.80774e-06
1.83702,5.43276e-05,1.7405e-06
1.87569,5.29509e-05,1.70093e-06
1.91436,5.04028e-05,1.79877e-06
1.95304,4.78067e-05,1.82448e-06
1.99171,4.71363e-05,1.55859e-06
2.03039,4.51745e-05,1.38913e-06
2.06906,4.17919e-05,1.281e-06
2.10773,3.90733e-05,1.2292e-06
2.14641,3.60949e-05,1.20153e-06
2.18508,3.21292e-05,1.13446e-06
2.22376,3.05753e-05,1.08437e-06
2.26243,3.09149e-05,1.07127e-06
2.30111,3.01741e-05,1.04667e-06
2.33978,2.80725e-05,9.81134e-07
2.37845,2.89421e-05,9.92324e-07
2.41713,2.69604e-05,9.55825e-07
2.4558,2.57505e-05,9.56201e-07
2.49448,2.6856e-05,9.72638e-07
2.53315,2.53978e-05,9.47211e-07
2.57182,2.55104e-05,9.70122e-07
2.6105,2.32158e-05,9.41092e-07
2.64917,2.34835e-05,9.80025e-07
2.68785,2.35327e-05,9.6294e-07
2.72652,2.33098e-05,9.72019e-07
2.76519,2.3394e-05,9.49194e-07
2.80387,2.50568e-05,1.00135e-06
2.84254,2.37893e-05,9.69702e-07
2.88122,2.39627e-05,9.73045e-07
2.91989,2.34009e-05,9.67839e-07
2.95856,2.49271e-05,1.03173e-06
2.99724,2.60767e-05,1.06904e-06
3.03591,2.62214e-05,1.03435e-06
3.07459,2.56971e-05,9.51312e-07
3.11326,2.56398e-05,8.89939e-07
3.15193,2.5936e-05,8.16086e-07
3.19061,2.67086e-05,8.11917e-07
3.22928,2.68817e-05,8.10928e-07
3.26796,2.47286e-05,7.61626e-07
3.30663,2.25891e-05,7.27826e-07
3.3453,2.20737e-05,6.93891e-07
3.38398,2.05945e-05,6.95365e-07
3.42265,2.07338e-05,7.70411e-07
3.46133,1.84962e-05,8.66685e-07
3.5,1.83014e-05,9.23692e-07
3.53867,1.54852e-05,9.10348e-07
3.57735,1.52039e-05,8.43864e-07
3.61602,1.55555e-05,7.69373e-07
3.6547,1.68684e-05,7.06172e-07
3.69337,1.92838e-05,6.91954e-07
3.73204,1.71223e-05,6.84755e-07
3.77072,1.78147e-05,7.06716e-07
3.80939,1.84431e-05,7.53757e-07
3.84807,1.74596e-05,7.6142e-07
3.88674,1.59649e-05,7.62804e-07
3.92541,1.68582e-05,8.44149e-07
3.96409,1.77957e-05,8.99484e-07
4.00276,1.63444e-05,9.42016e-07
4.04144,1.65369e-05,9.8712e-07
4.08011,1.73039e-05,1.00516e-06
4.11878,1.92784e-05,1.04773e-06
4.15746,1.6777e-05,9.95607e-07
4.19613,1.79665e-05,1.01431e-06
4.23481,2.01416e-05,1.0541e-06
4.27348,1.74033e-05,1.13888e-06
4.31215,1.87235e-05,1.21577e-06
4.35083,1.49013e-05,1.20838e-06
4.3895,1.65285e-05,1.23662e-06
4.42818,1.54176e-05,1.14723e-06
4.46685,1.40981e-05,1.06743e-06
4.50552,1.57489e-05,1.03241e-06
4.5442,1.53877e-05,9.98088e-07
4.58287,1.18996e-05,9.46265e-07
4.62155,1.28233e-05,9.52244e-07
4.66022,1.12595e-05,8.97231e-07
4.6989,1.00394e-05,8.71919e-07
4.73757,1.0373e-05,8.05029e-07
4.77624,1.01144e-05,7.46987e-07
4.81492,1.17682e-05,7.49074e-07
4.85359,1.01862e-05,6.58456e-07
4.89227,1.03628e-05,6.47651e-07
4.93094,1.03354e-05,6.37108e-07
4.96961,9.91446e-06,6.25913e-07
5.00829,1.03729e-05,6.62401e-07
5.04696,1.00078e-05,6.37397e-07
5.08564,1.01563e-05,6.56415e-07
5.12431,9.30408e-06,6.33462e-07
5.16298,9.1909e-06,6.23528e-07
5.20166,9.13705e-06,6.17583e-07
5.24033,8.86592e-06,6.40604e-07
5.27901,9.43521e-06,6.3246e-07
5.31768,8.82689e-06,6.54544e-07
5.35635,8.67475e-06,6.24929e-07
5.39503,8.05516e-06,6.44165e-07
5.4337,8.78235e-06,6.90332e-07
5.47238,8.76999e-06,7.10508e-07
5.51105,6.98906e-06,6.90274e-07
5.54972,8.48012e-06,7.02213e-07
5.5884,6.6494e-06,6.73721e-07
5.62707,7.89006e-06,6.43343e-07
5.66575,7.12025e-06,5.98021e-07
5.70442,7.50121e-06,5.82734e-07
5.74309,7.65299e-06,5.69196e-07
5.78177,9.20971e-06,6.03925e-07
5.82044,7.28714e-06,6.2198e-07
5.85912,7.09088e-06,6.86722e-07
5.89779,6.60098e-06,7.07734e-07
5.93646,6.25471e-06,7.59137e-07
5.97514,6.04968e-06,8.00684e-07
6.01381,2.95598e-06,7.8112e-07
6.05249,6.30963e-06,8.74874e-07
6.09116,6.30769e-06,9.17304e-07
6.12983,3.57473e-06,9.00348e-07
6.16851,4.45759e-06,9.73838e-07
6.20718,3.92464e-06,1.14676e-06
6.24586,2.2395e-06,1.79104e-06
6.28453,3.43907e-06,3.80015e-06
6.3232,-nan,-nan
6.36188,-nan,-nan
6.40055,-nan,-nan
6.43923,-nan,-nan
6.4779,-nan,-nan
6.51657,-nan,-nan
6.55525,-nan,-nan
6.59392,-nan,-nan
6.6326,-nan,-nan
6.67127,-nan,-nan
6.70994,-nan,-nan
6.74862,-nan,-nan
6.78729,-nan,-nan
6.82597,-nan,-nan
6.86464,-nan,-nan
6.90332,-nan,-nan
6.94199,-nan,-nan
6.98066,-nan,-nan
